Open Time,Open,High,Low,Close,Volume,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume,Ignore
2018-01-20,11474.98,13099.0,11412.45,12799.94,28768.857827,358561107.78097045,251647,14389.19600500,179183657.90470727,0
2018-01-21,12799.8,12799.8,10965.0,11530.0,41379.773426,485289230.8188924,360207,20574.76006100,241154449.98183498,0
2018-01-22,11530.0,11926.35,9900.24,10760.05,43752.606791,475716514.208697,363264,21300.57582800,231677479.12562198,0
2018-01-23,10760.05,11399.0,9905.0,10799.18,37473.922552,399419413.2329807,355286,18747.79382800,199899519.27329972,0
2018-01-24,10799.14,11570.48,10500.0,11349.99,27158.587762,299470607.4302002,293429,13087.39308800,144335221.62540217,0
2018-01-25,11349.96,11794.05,10950.21,11175.27,20839.954183,236081364.9736523,221040,10201.38691900,115584688.24733494,0
2018-01-26,11184.7,11643.0,10311.15,11089.0,33056.87196,360482470.1737543,314720,15330.78955300,167328952.39330244,0
2018-01-27,11089.0,11650.0,10842.69,11491.0,18860.768345,212663199.53348225,207478,9208.93796300,103935891.79616303,0
2018-01-28,11499.98,12244.0,11408.0,11879.95,16887.339524,200211582.94345406,206247,7342.78699700,87011013.83204750,0
2018-01-29,11879.95,11975.02,11139.55,11251.0,14170.377538,162110154.87880376,169199,6016.49687100,68819972.52308751,0
2018-01-30,11250.11,11308.42,9900.0,10237.51,25554.372946,268978329.50861526,259212,11388.09641900,119864289.07103088,0
2018-01-31,10230.0,10425.85,9700.0,10285.1,18015.956805,181644207.1131626,201422,8782.58444200,88609272.64228793,0
2018-02-01,10285.1,10335.0,8750.99,9224.52,33564.764311,317636345.9843711,316020,15430.00384900,146130725.87047478,0
2018-02-02,9224.52,9250.0,8010.02,8873.03,49971.626975,434236483.7044874,453411,23113.50358400,201292749.51509915,0
2018-02-03,8873.03,9473.01,8229.0,9199.96,28725.000735,256834729.0599109,327519,14182.83814600,127068644.49604894,0
2018-02-04,9199.96,9368.0,7930.0,8184.81,32014.308449,274912288.421322,356134,13805.29579000,118884553.20936234,0
2018-02-05,8179.99,8382.8,6625.0,6939.99,63403.182579,471166218.7134473,533510,29857.35839000,222022401.01692357,0
2018-02-06,6939.63,7878.0,6000.01,7652.14,100201.500307,684364276.3666689,785996,49565.02079400,339117633.40885492,0
2018-02-07,7655.02,8476.0,7150.01,7599.0,60778.460497,477935038.81177694,514893,30084.83626600,237137973.45313893,0
2018-02-08,7599.0,7844.0,7572.09,7784.02,1521.537318,11770168.04386595,12417,844.25881300,6532638.63751892,0
2018-02-09,7789.9,8738.0,7789.9,8683.92,20482.910825,173348469.81187892,273091,10404.04079200,88117562.12096504,0
2018-02-10,8683.93,9065.78,8120.0,8533.98,49381.512653,423411421.93098,537578,24506.72329400,210253734.38065453,0
2018-02-11,8533.99,8549.0,7726.53,8063.88,45025.187952,366966437.24988854,524626,23180.34192000,188849914.34995836,0
2018-02-12,8063.82,8989.0,8053.0,8903.0,41987.85049,362440826.9943769,477660,20916.94974200,180528457.55458465,0
2018-02-13,8903.0,8950.0,8351.0,8539.9,35454.972956,305165143.6969234,401893,16558.45568000,142530987.43930228,0
2018-02-14,8535.17,9489.6,8533.0,9449.99,40811.952867,370126692.72823304,514897,20508.46344400,185896385.02591052,0
2018-02-15,9449.98,10219.5,9301.5,10000.09,52427.596715,512388484.73178285,608349,25805.09889200,252255267.88356850,0
2018-02-16,10000.89,10323.37,9666.0,10159.98,38161.205974,381103299.2238848,405310,18313.00446600,182947133.88868243,0
2018-02-17,10156.07,11075.07,10050.0,11039.55,41882.108407,446012696.16926724,413585,21147.62478900,225229265.72563554,0
2018-02-18,11039.55,11274.0,10080.0,10383.43,61137.380728,649423311.3100227,537534,29593.86377400,314511909.48933116,0
2018-02-19,10375.01,11250.0,10270.33,11153.0,40831.417131,443766562.68306607,366882,20619.87712900,224193685.43795273,0
2018-02-20,11147.11,11786.01,11100.59,11200.99,48153.354288,551573232.2429588,432197,24211.49181000,277480902.01411923,0
2018-02-21,11195.07,11304.03,10200.0,10437.6,68113.818754,731537130.4921861,542340,32338.07400200,347436564.66654404,0
2018-02-22,10439.02,10933.44,9679.0,9811.04,67060.166483,682006373.869588,506273,33029.29762400,336067441.63250649,0
2018-02-23,9815.55,10435.0,9570.19,10131.04,57202.70237,571800753.4709765,467480,28031.01136800,280171693.07297117,0
2018-02-24,10131.04,10496.97,9352.0,9694.51,40888.156299,405618586.64803785,337918,18646.87096100,185164883.45171749,0
2018-02-25,9694.51,9847.0,9274.8,9590.0,28373.517586,271286599.1260862,233567,13956.66153300,133525539.44882145,0
2018-02-26,9590.0,10444.32,9350.0,10324.0,34878.292756,347559259.73845184,285276,17045.76870600,169936003.38761606,0
2018-02-27,10321.0,10870.0,10121.0,10569.04,30705.385123,324295371.1414657,240542,15187.08373800,160450471.45576781,0
2018-02-28,10584.33,11098.0,10300.0,10326.76,30800.983782,327914696.13067526,277886,14412.84633000,153537202.10196505,0
2018-03-01,10325.64,11060.41,10240.0,10920.0,25092.55393,268172535.3811293,230428,12785.40450000,136788817.23158328,0
2018-03-02,10923.36,11200.0,10770.0,11039.0,23910.71009,262936307.00785756,211691,11893.33363200,130864918.82307481,0
2018-03-03,11038.99,11544.0,11015.01,11464.48,21287.15328,241749497.90247172,190444,10842.68278400,123142920.22314858,0
2018-03-04,11464.47,11565.0,11050.02,11515.0,17295.918653,194849579.12502074,168359,8197.40159500,92437014.46393473,0
2018-03-05,11515.0,11710.0,11415.01,11454.0,15144.231063,174866951.39806527,164318,7668.82371400,88588986.33657850,0
2018-03-06,11455.0,11455.0,10555.48,10716.48,29515.572363,323842216.64859617,250306,13482.29719600,147874120.62232067,0
2018-03-07,10716.48,10899.0,9389.31,9910.0,50647.67108,514808033.4879209,396721,24022.45123100,244164771.36009567,0
2018-03-08,9910.0,10099.0,9060.0,9271.64,41109.473226,394641280.63843673,336514,20257.45583800,194608716.93503922,0
